"BillID","Major","MajorProb","Minor","MinorProb","Private"
"113-hjres-1",1,0.46,105,0.85,0
"113-hjres-10",1,0.67,105,0.86,0
"113-hjres-100",20,0.51,2000,0.43,0
"113-hjres-101",20,0.53,2011,0.35,0
"113-hjres-102",20,0.2,2002,0.5,0
"113-hjres-103",20,0.15,2002,0.5,0
"113-hjres-104",12,0.27,1203,0.24,0
"113-hjres-105",19,0.53,1921,1,0
"113-hjres-106",20,0.66,2000,0.89,0
"113-hjres-107",20,0.53,2012,0.47,0
"113-hjres-108",20,0.53,2011,0.35,0
"113-hjres-109",8,0.48,801,0.74,0
"113-hjres-11",1,0.46,105,0.85,0
"113-hjres-110",3,0.82,302,0.46,0
"113-hjres-111",20,0.15,2002,0.53,0
"113-hjres-112",8,0.51,801,0.33,0
"113-hjres-113",2,0.48,200,0.35,0
"113-hjres-114",20,0.55,2012,0.38,0
"113-hjres-115",20,0.29,2001,0.29,0
"113-hjres-116",8,0.69,801,0.82,0
"113-hjres-117",20,0.2,2002,0.5,0
"113-hjres-118",7,0.28,700,0.57,0
"113-hjres-119",20,0.37,2012,0.4,0
"113-hjres-12",20,0.52,2012,0.56,0
"113-hjres-120",20,0.59,2008,0.45,0
"113-hjres-121",20,0.5,2012,0.38,0
"113-hjres-122",20,0.51,2011,0.54,0
"113-hjres-123",16,0.92,1619,0.69,0
"113-hjres-124",20,0.51,2000,0.43,0
"113-hjres-125",16,0.97,1619,0.59,0
"113-hjres-126",12,0.29,1203,0.41,0
"113-hjres-127",19,0.3,1921,0.43,0
"113-hjres-128",16,0.97,1619,0.59,0
"113-hjres-129",20,0.79,2011,0.66,0
"113-hjres-13",15,0.31,1520,0.23,0
"113-hjres-130",20,0.66,2000,0.89,0
"113-hjres-131",20,0.66,2000,0.89,0
"113-hjres-14",20,0.31,2012,0.52,0
"113-hjres-15",20,0.25,2011,0.36,0
"113-hjres-16",12,0.27,1203,0.24,0
"113-hjres-17",18,0.22,1807,0.49,0
"113-hjres-18",1,0.46,105,0.68,0
"113-hjres-19",20,0.38,2011,0.38,0
"113-hjres-2",1,0.46,105,0.85,0
"113-hjres-20",20,0.37,2012,0.41,0
"113-hjres-21",20,0.45,2011,0.31,0
"113-hjres-22",20,0.53,2011,0.35,0
"113-hjres-23",20,0.53,2011,0.35,0
"113-hjres-24",1,0.46,105,0.85,0
"113-hjres-25",20,0.5,2012,0.26,0
"113-hjres-26",20,0.53,2011,0.35,0
"113-hjres-27",20,0.39,2002,0.24,0
"113-hjres-28",20,0.34,2011,0.33,0
"113-hjres-29",20,0.22,2002,0.29,0
"113-hjres-3",20,0.41,2008,0.58,0
"113-hjres-30",20,0.37,2011,0.3,0
"113-hjres-31",20,0.5,2012,0.41,0
"113-hjres-32",20,0.68,2012,0.63,0
"113-hjres-33",20,0.36,2012,0.29,0
"113-hjres-34",12,0.63,1204,0.87,0
"113-hjres-35",1,0.48,105,0.83,0
"113-hjres-36",1,0.34,105,0.86,0
"113-hjres-37",20,0.46,2012,0.33,0
"113-hjres-38",1,0.46,105,0.85,0
"113-hjres-39",12,0.27,1210,0.29,0
"113-hjres-4",1,0.46,105,0.85,0
"113-hjres-40",12,0.61,1210,0.36,0
"113-hjres-41",20,0.46,2011,0.33,0
"113-hjres-42",6,0.33,602,0.58,0
"113-hjres-43",2,0.48,200,0.35,0
"113-hjres-44",2,0.29,206,0.61,0
"113-hjres-45",20,0.6,2011,0.57,0
"113-hjres-46",19,0.32,1921,0.76,0
"113-hjres-47",20,0.38,2011,0.38,0
"113-hjres-48",20,0.53,2011,0.35,0
"113-hjres-49",1,0.46,105,0.85,0
"113-hjres-5",1,0.4,105,0.85,0
"113-hjres-50",12,0.27,1208,0.25,0
"113-hjres-51",12,0.22,1201,0.39,0
"113-hjres-52",19,0.29,1921,0.37,0
"113-hjres-53",19,0.23,1921,0.34,0
"113-hjres-54",12,0.44,1204,0.67,0
"113-hjres-55",20,0.33,2011,0.28,0
"113-hjres-56",2,0.26,202,0.35,0
"113-hjres-57",1,0.38,105,0.9,0
"113-hjres-58",16,0.63,1608,0.49,0
"113-hjres-59",1,0.51,105,0.84,0
"113-hjres-6",1,0.46,105,0.85,0
"113-hjres-60",20,0.32,2011,0.46,0
"113-hjres-61",12,0.3,1201,0.37,0
"113-hjres-62",16,0.2,1615,0.58,0
"113-hjres-63",20,0.43,2004,0.43,0
"113-hjres-64",7,0.81,705,0.79,0
"113-hjres-65",20,0.51,2000,0.43,0
"113-hjres-66",20,0.51,2000,0.43,0
"113-hjres-67",20,0.51,2000,0.43,0
"113-hjres-68",20,0.39,2011,0.45,0
"113-hjres-69",20,0.51,2000,0.43,0
"113-hjres-7",20,0.33,2012,0.58,0
"113-hjres-70",21,0.96,2101,1,0
"113-hjres-71",20,0.72,2014,0.93,0
"113-hjres-72",16,0.78,1608,0.81,0
"113-hjres-73",3,0.63,398,0.91,0
"113-hjres-74",2,0.24,208,0.85,0
"113-hjres-75",12,0.32,1208,0.51,0
"113-hjres-76",16,0.32,1605,0.54,0
"113-hjres-77",3,0.52,321,0.92,0
"113-hjres-78",16,0.43,1603,0.68,0
"113-hjres-79",10,0.33,1002,0.37,0
"113-hjres-8",20,0.6,2011,0.43,0
"113-hjres-80",21,0.61,2102,0.98,0
"113-hjres-81",8,0.37,801,0.51,0
"113-hjres-82",21,0.51,2101,0.85,0
"113-hjres-83",6,0.91,602,0.84,0
"113-hjres-84",12,0.58,1207,0.53,0
"113-hjres-85",15,0.46,1523,0.93,0
"113-hjres-86",15,0.88,1525,0.94,0
"113-hjres-87",10,0.7,1002,0.68,0
"113-hjres-88",20,0.33,2003,0.19,0
"113-hjres-89",20,0.55,2002,0.47,0
"113-hjres-9",20,0.31,2011,0.34,0
"113-hjres-90",10,0.58,1002,0.55,0
"113-hjres-91",20,0.47,2002,0.39,0
"113-hjres-92",3,0.86,331,0.4,0
"113-hjres-93",3,0.58,301,0.32,0
"113-hjres-94",17,0.85,1701,0.9,0
"113-hjres-95",8,0.58,801,0.97,0
"113-hjres-96",8,0.53,800,0.38,0
"113-hjres-97",20,0.39,2001,0.21,0
"113-hjres-98",20,0.39,2001,0.21,0
"113-hjres-99",1,0.15,105,0.8,0
"113-hr-1",1,0.61,107,0.86,0
"113-hr-10",6,0.8,602,0.68,0
"113-hr-100",15,0.37,1507,0.33,0
"113-hr-1000",5,0.42,502,0.58,0
"113-hr-1001",5,0.76,505,0.93,0
"113-hr-1002",15,0.57,1504,0.61,0
"113-hr-1003",15,0.45,1502,0.88,0
"113-hr-1004",21,0.9,2101,0.94,0
"113-hr-1005",15,0.2,1525,0.31,0
"113-hr-1006",20,0.5,2003,0.42,0
"113-hr-1007",6,0.68,602,0.83,0
"113-hr-1008",15,0.2,1525,0.31,0
"113-hr-1009",15,0.14,1523,0.69,0
"113-hr-101",15,0.38,1504,0.72,0
"113-hr-1010",5,0.35,505,0.72,0
"113-hr-1011",8,0.97,803,1,0
"113-hr-1012",10,0.23,1002,0.92,0
"113-hr-1013",1,0.42,105,0.92,0
"113-hr-1014",1,0.82,105,0.99,0
"113-hr-1015",3,0.44,331,0.42,0
